key,ticker,name,description,start-moment,end-moment,more-info,draft-mode,key:fundraiser
#base-entity
strategy-00,ST00-VALID1,"Support Strategy","Valid draft strategy used as support data for tactic errata.",2027/01/15 09:00,2027/10/15 09:00,http://example.org/strategies/support,TRUE,fundraiser-errata-01
#ticker - standard variations
strategy-01,,"Green Infrastructure","Funding plan for certified green infrastructure projects in Europe.",2027/01/15 09:00,2027/10/15 09:00,http://example.org/strategies/ticker-empty,TRUE,fundraiser-errata-01
strategy-02,A123-ABCDE,"Green Infrastructure","Funding plan for certified green infrastructure projects in Europe.",2027/01/15 09:00,2027/10/15 09:00,http://example.org/strategies/ticker-a123,TRUE,fundraiser-errata-01
strategy-03,ABC3-ABCDE,"Green Infrastructure","Funding plan for certified green infrastructure projects in Europe.",2027/01/15 09:00,2027/10/15 09:00,http://example.org/strategies/ticker-abc3,TRUE,fundraiser-errata-01
strategy-04,ABCD-ABCDE,"Green Infrastructure","Funding plan for certified green infrastructure projects in Europe.",2027/01/15 09:00,2027/10/15 09:00,http://example.org/strategies/ticker-abcd,TRUE,fundraiser-errata-01
strategy-05,AB12ABCDE,"Green Infrastructure","Funding plan for certified green infrastructure projects in Europe.",2027/01/15 09:00,2027/10/15 09:00,http://example.org/strategies/ticker-nohyphen,TRUE,fundraiser-errata-01
strategy-06,AB12-ABCD,"Green Infrastructure","Funding plan for certified green infrastructure projects in Europe.",2027/01/15 09:00,2027/10/15 09:00,http://example.org/strategies/ticker-short,TRUE,fundraiser-errata-01
strategy-07,AB12-ABCDEFGHIJK,"Green Infrastructure","Funding plan for certified green infrastructure projects in Europe.",2027/01/15 09:00,2027/10/15 09:00,http://example.org/strategies/ticker-long,TRUE,fundraiser-errata-01
strategy-08,AB12-ABC DE,"Green Infrastructure","Funding plan for certified green infrastructure projects in Europe.",2027/01/15 09:00,2027/10/15 09:00,http://example.org/strategies/ticker-space,TRUE,fundraiser-errata-01
strategy-09,AB12-ABC@DE,"Green Infrastructure","Funding plan for certified green infrastructure projects in Europe.",2027/01/15 09:00,2027/10/15 09:00,http://example.org/strategies/ticker-symbol,TRUE,fundraiser-errata-01
#ticker - no singular values
#name - standard variations
strategy-10,ER10-STRAT01,,"Funding plan for certified green infrastructure projects in Europe.",2027/01/15 09:00,2027/10/15 09:00,http://example.org/strategies/name-empty,TRUE,fundraiser-errata-01
strategy-11,ER11-STRAT02,"    ","Funding plan for certified green infrastructure projects in Europe.",2027/01/15 09:00,2027/10/15 09:00,http://example.org/strategies/name-blank,TRUE,fundraiser-errata-01
strategy-12,ER12-STRAT03,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","Funding plan for certified green infrastructure projects in Europe.",2027/01/15 09:00,2027/10/15 09:00,http://example.org/strategies/name-long,TRUE,fundraiser-errata-01
#name - no singular values
#description - standard variations
strategy-13,ER13-STRAT04,"Valid Strategy",,2027/01/15 09:00,2027/10/15 09:00,http://example.org/strategies/description-empty,TRUE,fundraiser-errata-01
strategy-14,ER14-STRAT05,"Valid Strategy","   ",2027/01/15 09:00,2027/10/15 09:00,http://example.org/strategies/description-blank,TRUE,fundraiser-errata-01
strategy-15,ER15-STRAT06,"Valid Strategy","LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL",2027/01/15 09:00,2027/10/15 09:00,http://example.org/strategies/description-long,TRUE,fundraiser-errata-01
#description - no singular values
#startMoment - standard variations
strategy-16,ER16-STRAT07,"Valid Strategy","Valid draft strategy with a start moment in the past.",2025/01/15 09:00,2027/10/15 09:00,http://example.org/strategies/start-past,TRUE,fundraiser-errata-01
#startMoment - no singular values
#endMoment - standard variations
strategy-17,ER17-STRAT08,"Valid Strategy","Valid draft strategy with an end moment before the start moment.",2027/10/15 09:00,2027/01/15 09:00,http://example.org/strategies/end-before,TRUE,fundraiser-errata-01
#endMoment - no singular values
#moreInfo - standard variations
strategy-18,ER18-STRAT09,"Valid Strategy","Valid draft strategy with an invalid URL.",2027/01/15 09:00,2027/10/15 09:00,not-a-url,TRUE,fundraiser-errata-01
#moreInfo - no singular values
#draftMode - standard variations
strategy-19,ER19-STRAT10,"Valid Strategy","Valid draft strategy with a missing draft flag.",2027/01/15 09:00,2027/10/15 09:00,http://example.org/strategies/draft-missing,,fundraiser-errata-01
#draftMode - no singular values
#fundraiser - standard variations
strategy-20,ER20-STRAT11,"Valid Strategy","Valid draft strategy with a missing fundraiser.",2027/01/15 09:00,2027/10/15 09:00,http://example.org/strategies/fundraiser-missing,TRUE,
#fundraiser - no singular values
#business-rules - standard variations
strategy-21,ER21-PUB001,"Publish Without Tactics","Published strategy without tactics to trigger publication validation.",2027/01/15 09:00,2027/10/15 09:00,http://example.org/strategies/publish-without-tactics,FALSE,fundraiser-errata-01
strategy-22,ST00-VALID1,"Duplicated Ticker","Strategy with a duplicated ticker to trigger uniqueness validation.",2027/02/01 09:00,2027/11/01 09:00,http://example.org/strategies/duplicate-ticker,TRUE,fundraiser-errata-01